M_female,BH_steepness,TOTAL,Catch,Equil_catch,Survey,Length_comp,Age_comp,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,NLL.change
0.14,0.8,2602.24,1.87989e-10,0,27.1838,572.255,1978.2,24.6279,0,0,-0.0295086,0.00574136,0,0,5.97999999999956
0.15,0.8,2600.32,1.13531e-10,0,26.1733,572.02,1977.44,24.7595,0,0,-0.0744985,0.00572412,0,0,4.05999999999995
0.16,0.8,2599.16,7.0142e-11,0,25.4567,572.044,1976.77,24.9559,0,0,-0.0717456,0.00571096,0,0,2.89999999999964
0.17,0.8,2598.72,4.43591e-11,0,25.0143,572.297,1976.24,25.1961,1.7854e-31,0,-0.02968,0.00570069,0,0,2.45999999999958
0.171052,0.8,2598.72,4.23417e-11,0,24.9828,572.333,1976.2,25.223,0,0,-0.0232555,0.00569973,0,0,2.45999999999958
0.174703,0.8,2598.76,3.60963e-11,0,24.8946,572.481,1976.06,25.3183,1.68189e-31,0,0.00173712,0.00569674,0,0,2.5
0.18,0.8,2598.97,2.86945e-11,0,24.8246,572.763,1975.87,25.4615,0,0,0.045008,0.00569321,0,0,2.70999999999958
0.19,0.8,2599.87,1.87279e-11,0,24.871,573.512,1975.59,25.7403,0,0,0.146945,0.00568961,0,0,3.60999999999967
0.2,0.8,2601.37,1.23395e-11,0,25.1362,574.539,1975.4,26.0176,0,0,0.271771,0.00569004,0,0,5.10999999999967
0.21,0.8,2603.46,8.22787e-12,0,25.603,575.844,1975.31,26.2806,0,0,0.415911,0.00569613,0,0,7.19999999999982
0.22,0.8,2606.09,5.56732e-12,0,26.2564,577.429,1975.3,26.5173,0,0,0.576413,0.0057111,0,0,9.82999999999993
0.13,0.85,2605.51,3.04141e-10,0,28.7006,572.786,1979.08,24.8432,0,0,0.0930024,0.00576328,0,0,9.25
0.14,0.85,2602.79,1.78422e-10,0,27.402,572.308,1978.2,24.8776,0,0,-0.0104996,0.00574283,0,0,6.52999999999975
0.15,0.85,2600.86,1.07694e-10,0,26.416,572.079,1977.42,24.9905,0,0,-0.0554896,0.00572533,0,0,4.59999999999991
0.16,0.85,2599.68,6.64322e-11,0,25.7231,572.109,1976.73,25.162,0,0,-0.0527366,0.0057116,0,0,3.41999999999962
0.17,0.85,2599.23,4.18924e-11,0,25.3031,572.377,1976.18,25.3729,1.7854e-31,0,-0.010671,0.00570132,0,0,2.9699999999998
0.171052,0.85,2599.22,3.99761e-11,0,25.2739,572.415,1976.13,25.3966,0,0,-0.0042465,0.00570029,0,0,2.95999999999958
0.174703,0.85,2599.25,3.40508e-11,0,25.1935,572.567,1975.98,25.4803,0,0,0.0207461,0.0056971,0,0,2.98999999999978
0.18,0.85,2599.45,2.70554e-11,0,25.1341,572.853,1975.79,25.6056,0,0,0.064017,0.00569344,0,0,3.1899999999996
0.19,0.85,2600.32,1.76462e-11,0,25.1992,573.611,1975.49,25.8487,0,0,0.165954,0.00568953,0,0,4.05999999999995
0.2,0.85,2601.8,1.16342e-11,0,25.4807,574.649,1975.29,26.0889,0,0,0.29078,0.00568964,0,0,5.53999999999996
0.21,0.85,2603.86,7.77321e-12,0,25.9614,575.967,1975.18,26.3139,0,0,0.43492,0.00569496,0,0,7.59999999999991
0.22,0.85,2606.46,5.27659e-12,0,26.626,577.565,1975.15,26.5126,0,0,0.595422,0.00570842,0,0,10.1999999999998
0.13,0.9,2606.16,2.86384e-10,0,28.8989,572.864,1979.08,25.1145,3.18806e-31,0,0.198996,0.00576469,0,0,9.89999999999964
0.14,0.9,2603.42,1.68372e-10,0,27.6245,572.386,1978.18,25.1274,0,0,0.0954937,0.00574417,0,0,7.15999999999985
0.15,0.9,2601.47,1.01712e-10,0,26.6609,572.157,1977.38,25.2137,0,0,0.0505037,0.0057264,0,0,5.20999999999958
0.16,0.9,2600.27,6.27241e-11,0,25.9884,572.19,1976.68,25.3547,0,0,0.0532567,0.00571226,0,0,4.00999999999976
0.17,0.9,2599.79,3.95001e-11,0,25.5869,572.469,1976.1,25.533,0,0,0.0953222,0.00570183,0,0,3.52999999999975
0.171052,0.9,2599.78,3.76836e-11,0,25.5596,572.51,1976.05,25.5532,1.76148e-31,0,0.101747,0.00570081,0,0,3.51999999999998
0.174703,0.9,2599.8,3.20809e-11,0,25.4855,572.665,1975.89,25.6245,1.68189e-31,0,0.126739,0.00569744,0,0,3.53999999999996
0.18,0.9,2599.99,2.54965e-11,0,25.4344,572.953,1975.69,25.7315,1.57517e-31,0,0.17001,0.00569371,0,0,3.72999999999956
0.19,0.9,2600.83,1.66439e-11,0,25.5134,573.718,1975.38,25.9393,0,0,0.271948,0.00568937,0,0,4.56999999999971
0.2,0.9,2602.28,1.09972e-11,0,25.806,574.764,1975.16,26.144,0,0,0.396773,0.00568924,0,0,6.01999999999998
0.21,0.9,2604.31,7.37181e-12,0,26.2954,576.09,1975.04,26.334,0,0,0.540913,0.00569384,0,0,8.04999999999973
